normalized_key,level,hazard_type,area_ratio,rank_avg,rank_max,source,acquired_on
神奈川県横浜市中区本町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本町5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本町6丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本郷町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本郷町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本郷町3丁目,chome,landslide_special,0.0129,0.0257,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区松影町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区松影町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区松影町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区松影町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区柏葉,chome,landslide_special,0.0008,0.0016,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区根岸加曽台,chome,landslide_special,0.1388,0.2777,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区根岸台,chome,landslide_special,0.0021,0.0042,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区根岸旭台,chome,landslide_special,0.0033,0.0066,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区根岸町1丁目,chome,landslide_special,0.0443,0.0886,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区根岸町2丁目,chome,landslide_special,0.024,0.0481,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区根岸町3丁目,chome,landslide_special,0.0047,0.0094,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区桜木町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区桜木町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区桜木町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区横浜公園,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区池袋,chome,landslide_special,0.0332,0.0665,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区海岸通1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区海岸通2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区海岸通3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区海岸通4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区海岸通5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区港町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区港町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区港町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区港町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区港町5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
